PickkingItem			TargetItem			ResultItem		
Soul Metal	2004	250	Assassin Necklace +1	61015	1	Assassin Necklace +2	61016	1
Soul Metal	2004	250	Assassin Necklace +2	61016	1	Assassin Necklace +3	61017	1
Soul Metal	2004	250	Assassin Necklace +3	61017	1	Assassin Necklace +4	61018	1
Soul Metal	2004	250	Assassin Necklace +4	61018	1	Assassin Necklace +5	61019	1
Soul Metal	2004	250	Assassin Necklace +5	61019	1	Assassin Necklace +6	61020	1
Soul Metal	2004	250	Assassin Necklace +6	61020	1	Assassin Necklace +7	61021	1
Soul Metal	2004	250	Assassin Necklace +7	61021	1	Assassin Necklace +8	61022	1
Soul Metal	2004	250	Assassin Necklace +8	61022	1	Assassin Necklace +9	61023	1
Soul Metal	2004	250	Assassin Necklace +9	61023	1	Assassin Necklace +10	61024	1
Soul Metal	2004	250	Assassin Necklace +10	61024	1	Assassin Necklace +11	61025	1
Soul Metal	2004	250	Assassin Necklace +11	61025	1	Assassin Necklace +12	61026	1
Soul Metal	2004	250	Assassin Necklace +12	61026	1	Assassin Necklace +13	61027	1
Soul Metal	2004	250	Assassin Necklace +13	61027	1	Assassin Necklace +14	61028	1
Soul Metal	2004	250	Assassin Necklace +14	61028	1	Assassin Necklace +15	61029	1
Soul Metal	2004	250	Assassin Necklace +15	61029	1	Assassin Necklace +16	61030	1
Soul Metal	2004	250	Assassin Necklace +16	61030	1	Assassin Necklace +17	61031	1
Soul Metal	2004	250	Assassin Necklace +17	61031	1	Assassin Necklace +18	61032	1
Soul Metal	2004	250	Assassin Necklace +18	61032	1	Assassin Necklace +19	61033	1
Soul Metal	2004	250	Assassin Necklace +19	61033	1	Assassin Necklace +20	61034	1
Soul Metal	2004	250	Assassin Necklace +20	61034	1	Assassin Necklace +21	61035	1
Soul Metal	2004	250	Assassin Necklace +21	61035	1	Assassin Necklace +22	61036	1
Soul Metal	2004	250	Assassin Necklace +22	61036	1	Assassin Necklace +23	61037	1
Soul Metal	2004	250	Assassin Necklace +23	61037	1	Assassin Necklace +24	61038	1
Soul Metal	2004	250	Assassin Necklace +24	61038	1	Assassin Necklace +25	61039	1
Soul Metal	2004	250	Acolyte ring +1	61040	1	Acolyte ring +2	61041	1
Soul Metal	2004	250	Acolyte ring +2	61041	1	Acolyte ring +3	61042	1
Soul Metal	2004	250	Acolyte ring +3	61042	1	Acolyte ring +4	61043	1
Soul Metal	2004	250	Acolyte ring +4	61043	1	Acolyte ring +5	61044	1
Soul Metal	2004	250	Acolyte ring +5	61044	1	Acolyte ring +6	61045	1
Soul Metal	2004	250	Acolyte ring +6	61045	1	Acolyte ring +7	61046	1
Soul Metal	2004	250	Acolyte ring +7	61046	1	Acolyte ring +8	61047	1
Soul Metal	2004	250	Acolyte ring +8	61047	1	Acolyte ring +9	61048	1
Soul Metal	2004	250	Acolyte ring +9	61048	1	Acolyte ring +10	61049	1
Soul Metal	2004	250	Acolyte ring +10	61049	1	Acolyte ring +11	61050	1
Soul Metal	2004	250	Acolyte ring +11	61050	1	Acolyte ring +12	61051	1
Soul Metal	2004	250	Acolyte ring +12	61051	1	Acolyte ring +13	61052	1
Soul Metal	2004	250	Acolyte ring +13	61052	1	Acolyte ring +14	61053	1
Soul Metal	2004	250	Acolyte ring +14	61053	1	Acolyte ring +15	61054	1
Soul Metal	2004	250	Acolyte ring +15	61054	1	Acolyte ring +16	61055	1
Soul Metal	2004	250	Acolyte ring +16	61055	1	Acolyte ring +17	61056	1
Soul Metal	2004	250	Acolyte ring +17	61056	1	Acolyte ring +18	61057	1
Soul Metal	2004	250	Acolyte ring +18	61057	1	Acolyte ring +19	61058	1
Soul Metal	2004	250	Acolyte ring +19	61058	1	Acolyte ring +20	61059	1
Soul Metal	2004	250	Acolyte ring +20	61059	1	Acolyte ring +21	61060	1
Soul Metal	2004	250	Acolyte ring +21	61060	1	Acolyte ring +22	61061	1
Soul Metal	2004	250	Acolyte ring +22	61061	1	Acolyte ring +23	61062	1
Soul Metal	2004	250	Acolyte ring +23	61062	1	Acolyte ring +24	61063	1
Soul Metal	2004	250	Acolyte ring +24	61063	1	Acolyte ring +25	61064	1
Soul Metal	2004	250	Acolyte Necklace +1	61065	1	Acolyte Necklace +2	61066	1
Soul Metal	2004	250	Acolyte Necklace +2	61066	1	Acolyte Necklace +3	61067	1
Soul Metal	2004	250	Acolyte Necklace +3	61067	1	Acolyte Necklace +4	61068	1
Soul Metal	2004	250	Acolyte Necklace +4	61068	1	Acolyte Necklace +5	61069	1
Soul Metal	2004	250	Acolyte Necklace +5	61069	1	Acolyte Necklace +6	61070	1
Soul Metal	2004	250	Acolyte Necklace +6	61070	1	Acolyte Necklace +7	61071	1
Soul Metal	2004	250	Acolyte Necklace +7	61071	1	Acolyte Necklace +8	61072	1
Soul Metal	2004	250	Acolyte Necklace +8	61072	1	Acolyte Necklace +9	61073	1
Soul Metal	2004	250	Acolyte Necklace +9	61073	1	Acolyte Necklace +10	61074	1
Soul Metal	2004	250	Acolyte Necklace +10	61074	1	Acolyte Necklace +11	61075	1
Soul Metal	2004	250	Acolyte Necklace +11	61075	1	Acolyte Necklace +12	61076	1
Soul Metal	2004	250	Acolyte Necklace +12	61076	1	Acolyte Necklace +13	61077	1
Soul Metal	2004	250	Acolyte Necklace +13	61077	1	Acolyte Necklace +14	61078	1
Soul Metal	2004	250	Acolyte Necklace +14	61078	1	Acolyte Necklace +15	61079	1
Soul Metal	2004	250	Acolyte Necklace +15	61079	1	Acolyte Necklace +16	61080	1
Soul Metal	2004	250	Acolyte Necklace +16	61080	1	Acolyte Necklace +17	61081	1
Soul Metal	2004	250	Acolyte Necklace +17	61081	1	Acolyte Necklace +18	61082	1
Soul Metal	2004	250	Acolyte Necklace +18	61082	1	Acolyte Necklace +19	61083	1
Soul Metal	2004	250	Acolyte Necklace +19	61083	1	Acolyte Necklace +20	61084	1
Soul Metal	2004	250	Acolyte Necklace +20	61084	1	Acolyte Necklace +21	61085	1
Soul Metal	2004	250	Acolyte Necklace +21	61085	1	Acolyte Necklace +22	61086	1
Soul Metal	2004	250	Acolyte Necklace +22	61086	1	Acolyte Necklace +23	61087	1
Soul Metal	2004	250	Acolyte Necklace +23	61087	1	Acolyte Necklace +24	61088	1
Soul Metal	2004	250	Acolyte Necklace +24	61088	1	Acolyte Necklace +25	61089	1
Soul Metal	2004	250	Rune Ofc ring +1	61090	1	Rune Ofc ring +2	61091	1
Soul Metal	2004	250	Rune Ofc ring +2	61091	1	Rune Ofc ring +3	61092	1
Soul Metal	2004	250	Rune Ofc ring +3	61092	1	Rune Ofc ring +4	61093	1
Soul Metal	2004	250	Rune Ofc ring +4	61093	1	Rune Ofc ring +5	61094	1
Soul Metal	2004	250	Rune Ofc ring +5	61094	1	Rune Ofc ring +6	61095	1
Soul Metal	2004	250	Rune Ofc ring +6	61095	1	Rune Ofc ring +7	61096	1
Soul Metal	2004	250	Rune Ofc ring +7	61096	1	Rune Ofc ring +8	61097	1
Soul Metal	2004	250	Rune Ofc ring +8	61097	1	Rune Ofc ring +9	61098	1
Soul Metal	2004	250	Rune Ofc ring +9	61098	1	Rune Ofc ring +10	61099	1
Soul Metal	2004	250	Rune Ofc ring +10	61099	1	Rune Ofc ring +11	61100	1
Soul Metal	2004	250	Rune Ofc ring +11	61100	1	Rune Ofc ring +12	61101	1
Soul Metal	2004	250	Rune Ofc ring +12	61101	1	Rune Ofc ring +13	61102	1
Soul Metal	2004	250	Rune Ofc ring +13	61102	1	Rune Ofc ring +14	61103	1
Soul Metal	2004	250	Rune Ofc ring +14	61103	1	Rune Ofc ring +15	61104	1
Soul Metal	2004	250	Rune Ofc ring +15	61104	1	Rune Ofc ring +16	61105	1
Soul Metal	2004	250	Rune Ofc ring +16	61105	1	Rune Ofc ring +17	61106	1
Soul Metal	2004	250	Rune Ofc ring +17	61106	1	Rune Ofc ring +18	61107	1
Soul Metal	2004	250	Rune Ofc ring +18	61107	1	Rune Ofc ring +19	61108	1
Soul Metal	2004	250	Rune Ofc ring +19	61108	1	Rune Ofc ring +20	61109	1
Soul Metal	2004	250	Rune Ofc ring +20	61109	1	Rune Ofc ring +21	61110	1
Soul Metal	2004	250	Rune Ofc ring +21	61110	1	Rune Ofc ring +22	61111	1
Soul Metal	2004	250	Rune Ofc ring +22	61111	1	Rune Ofc ring +23	61112	1
Soul Metal	2004	250	Rune Ofc ring +23	61112	1	Rune Ofc ring +24	61113	1
Soul Metal	2004	250	Rune Ofc ring +24	61113	1	Rune Ofc ring +25	61114	1
Soul Metal	2004	250	Rune Ofc Necklace +1	61115	1	Rune Ofc Necklace +2	61116	1
Soul Metal	2004	250	Rune Ofc Necklace +2	61116	1	Rune Ofc Necklace +3	61117	1
Soul Metal	2004	250	Rune Ofc Necklace +3	61117	1	Rune Ofc Necklace +4	61118	1
Soul Metal	2004	250	Rune Ofc Necklace +4	61118	1	Rune Ofc Necklace +5	61119	1
Soul Metal	2004	250	Rune Ofc Necklace +5	61119	1	Rune Ofc Necklace +6	61120	1
Soul Metal	2004	250	Rune Ofc Necklace +6	61120	1	Rune Ofc Necklace +7	61121	1
Soul Metal	2004	250	Rune Ofc Necklace +7	61121	1	Rune Ofc Necklace +8	61122	1
Soul Metal	2004	250	Rune Ofc Necklace +8	61122	1	Rune Ofc Necklace +9	61123	1
Soul Metal	2004	250	Rune Ofc Necklace +9	61123	1	Rune Ofc Necklace +10	61124	1
Soul Metal	2004	250	Rune Ofc Necklace +10	61124	1	Rune Ofc Necklace +11	61125	1
Soul Metal	2004	250	Rune Ofc Necklace +11	61125	1	Rune Ofc Necklace +12	61126	1
Soul Metal	2004	250	Rune Ofc Necklace +12	61126	1	Rune Ofc Necklace +13	61127	1
Soul Metal	2004	250	Rune Ofc Necklace +13	61127	1	Rune Ofc Necklace +14	61128	1
Soul Metal	2004	250	Rune Ofc Necklace +14	61128	1	Rune Ofc Necklace +15	61129	1
Soul Metal	2004	250	Rune Ofc Necklace +15	61129	1	Rune Ofc Necklace +16	61130	1
Soul Metal	2004	250	Rune Ofc Necklace +16	61130	1	Rune Ofc Necklace +17	61131	1
Soul Metal	2004	250	Rune Ofc Necklace +17	61131	1	Rune Ofc Necklace +18	61132	1
Soul Metal	2004	250	Rune Ofc Necklace +18	61132	1	Rune Ofc Necklace +19	61133	1
Soul Metal	2004	250	Rune Ofc Necklace +19	61133	1	Rune Ofc Necklace +20	61134	1
Soul Metal	2004	250	Rune Ofc Necklace +20	61134	1	Rune Ofc Necklace +21	61135	1
Soul Metal	2004	250	Rune Ofc Necklace +21	61135	1	Rune Ofc Necklace +22	61136	1
Soul Metal	2004	250	Rune Ofc Necklace +22	61136	1	Rune Ofc Necklace +23	61137	1
Soul Metal	2004	250	Rune Ofc Necklace +23	61137	1	Rune Ofc Necklace +24	61138	1
Soul Metal	2004	250	Rune Ofc Necklace +24	61138	1	Rune Ofc Necklace +25	61139	1
Soul Metal	2004	250	Life Ofc ring +1	61140	1	Life Ofc ring +2	61141	1
Soul Metal	2004	250	Life Ofc ring +2	61141	1	Life Ofc ring +3	61142	1
Soul Metal	2004	250	Life Ofc ring +3	61142	1	Life Ofc ring +4	61143	1
Soul Metal	2004	250	Life Ofc ring +4	61143	1	Life Ofc ring +5	61144	1
Soul Metal	2004	250	Life Ofc ring +5	61144	1	Life Ofc ring +6	61145	1
Soul Metal	2004	250	Life Ofc ring +6	61145	1	Life Ofc ring +7	61146	1
Soul Metal	2004	250	Life Ofc ring +7	61146	1	Life Ofc ring +8	61147	1
Soul Metal	2004	250	Life Ofc ring +8	61147	1	Life Ofc ring +9	61148	1
Soul Metal	2004	250	Life Ofc ring +9	61148	1	Life Ofc ring +10	61149	1
Soul Metal	2004	250	Life Ofc ring +10	61149	1	Life Ofc ring +11	61150	1
Soul Metal	2004	250	Life Ofc ring +11	61150	1	Life Ofc ring +12	61151	1
Soul Metal	2004	250	Life Ofc ring +12	61151	1	Life Ofc ring +13	61152	1
Soul Metal	2004	250	Life Ofc ring +13	61152	1	Life Ofc ring +14	61153	1
Soul Metal	2004	250	Life Ofc ring +14	61153	1	Life Ofc ring +15	61154	1
Soul Metal	2004	250	Life Ofc ring +15	61154	1	Life Ofc ring +16	61155	1
Soul Metal	2004	250	Life Ofc ring +16	61155	1	Life Ofc ring +17	61156	1
Soul Metal	2004	250	Life Ofc ring +17	61156	1	Life Ofc ring +18	61157	1
Soul Metal	2004	250	Life Ofc ring +18	61157	1	Life Ofc ring +19	61158	1
Soul Metal	2004	250	Life Ofc ring +19	61158	1	Life Ofc ring +20	61159	1
Soul Metal	2004	250	Life Ofc ring +20	61159	1	Life Ofc ring +21	61160	1
Soul Metal	2004	250	Life Ofc ring +21	61160	1	Life Ofc ring +22	61161	1
Soul Metal	2004	250	Life Ofc ring +22	61161	1	Life Ofc ring +23	61162	1
Soul Metal	2004	250	Life Ofc ring +23	61162	1	Life Ofc ring +24	61163	1
Soul Metal	2004	250	Life Ofc ring +24	61163	1	Life Ofc ring +25	61164	1
Soul Metal	2004	250	Life Ofc Necklace +1	61165	1	Life Ofc Necklace +2	61166	1
Soul Metal	2004	250	Life Ofc Necklace +2	61166	1	Life Ofc Necklace +3	61167	1
Soul Metal	2004	250	Life Ofc Necklace +3	61167	1	Life Ofc Necklace +4	61168	1
Soul Metal	2004	250	Life Ofc Necklace +4	61168	1	Life Ofc Necklace +5	61169	1
Soul Metal	2004	250	Life Ofc Necklace +5	61169	1	Life Ofc Necklace +6	61170	1
Soul Metal	2004	250	Life Ofc Necklace +6	61170	1	Life Ofc Necklace +7	61171	1
Soul Metal	2004	250	Life Ofc Necklace +7	61171	1	Life Ofc Necklace +8	61172	1
Soul Metal	2004	250	Life Ofc Necklace +8	61172	1	Life Ofc Necklace +9	61173	1
Soul Metal	2004	250	Life Ofc Necklace +9	61173	1	Life Ofc Necklace +10	61174	1
Soul Metal	2004	250	Life Ofc Necklace +10	61174	1	Life Ofc Necklace +11	61175	1
Soul Metal	2004	250	Life Ofc Necklace +11	61175	1	Life Ofc Necklace +12	61176	1
Soul Metal	2004	250	Life Ofc Necklace +12	61176	1	Life Ofc Necklace +13	61177	1
Soul Metal	2004	250	Life Ofc Necklace +13	61177	1	Life Ofc Necklace +14	61178	1
Soul Metal	2004	250	Life Ofc Necklace +14	61178	1	Life Ofc Necklace +15	61179	1
Soul Metal	2004	250	Life Ofc Necklace +15	61179	1	Life Ofc Necklace +16	61180	1
Soul Metal	2004	250	Life Ofc Necklace +16	61180	1	Life Ofc Necklace +17	61181	1
Soul Metal	2004	250	Life Ofc Necklace +17	61181	1	Life Ofc Necklace +18	61182	1
Soul Metal	2004	250	Life Ofc Necklace +18	61182	1	Life Ofc Necklace +19	61183	1
Soul Metal	2004	250	Life Ofc Necklace +19	61183	1	Life Ofc Necklace +20	61184	1
Soul Metal	2004	250	Life Ofc Necklace +20	61184	1	Life Ofc Necklace +21	61185	1
Soul Metal	2004	250	Life Ofc Necklace +21	61185	1	Life Ofc Necklace +22	61186	1
Soul Metal	2004	250	Life Ofc Necklace +22	61186	1	Life Ofc Necklace +23	61187	1
Soul Metal	2004	250	Life Ofc Necklace +23	61187	1	Life Ofc Necklace +24	61188	1
Soul Metal	2004	250	Life Ofc Necklace +24	61188	1	Life Ofc Necklace +25	61189	1
Soul Metal	2004	250	Shadow Ofc ring +1	61190	1	Shadow Ofc ring +2	61191	1
Soul Metal	2004	250	Shadow Ofc ring +2	61191	1	Shadow Ofc ring +3	61192	1
Soul Metal	2004	250	Shadow Ofc ring +3	61192	1	Shadow Ofc ring +4	61193	1
Soul Metal	2004	250	Shadow Ofc ring +4	61193	1	Shadow Ofc ring +5	61194	1
Soul Metal	2004	250	Shadow Ofc ring +5	61194	1	Shadow Ofc ring +6	61195	1
Soul Metal	2004	250	Shadow Ofc ring +6	61195	1	Shadow Ofc ring +7	61196	1
Soul Metal	2004	250	Shadow Ofc ring +7	61196	1	Shadow Ofc ring +8	61197	1
Soul Metal	2004	250	Shadow Ofc ring +8	61197	1	Shadow Ofc ring +9	61198	1
Soul Metal	2004	250	Shadow Ofc ring +9	61198	1	Shadow Ofc ring +10	61199	1
Soul Metal	2004	250	Shadow Ofc ring +10	61199	1	Shadow Ofc ring +11	61200	1
Soul Metal	2004	250	Shadow Ofc ring +11	61200	1	Shadow Ofc ring +12	61201	1
Soul Metal	2004	250	Shadow Ofc ring +12	61201	1	Shadow Ofc ring +13	61202	1
Soul Metal	2004	250	Shadow Ofc ring +13	61202	1	Shadow Ofc ring +14	61203	1
Soul Metal	2004	250	Shadow Ofc ring +14	61203	1	Shadow Ofc ring +15	61204	1
Soul Metal	2004	250	Shadow Ofc ring +15	61204	1	Shadow Ofc ring +16	61205	1
Soul Metal	2004	250	Shadow Ofc ring +16	61205	1	Shadow Ofc ring +17	61206	1
Soul Metal	2004	250	Shadow Ofc ring +17	61206	1	Shadow Ofc ring +18	61207	1
Soul Metal	2004	250	Shadow Ofc ring +18	61207	1	Shadow Ofc ring +19	61208	1
Soul Metal	2004	250	Shadow Ofc ring +19	61208	1	Shadow Ofc ring +20	61209	1
Soul Metal	2004	250	Shadow Ofc ring +20	61209	1	Shadow Ofc ring +21	61210	1
Soul Metal	2004	250	Shadow Ofc ring +21	61210	1	Shadow Ofc ring +22	61211	1
Soul Metal	2004	250	Shadow Ofc ring +22	61211	1	Shadow Ofc ring +23	61212	1
Soul Metal	2004	250	Shadow Ofc ring +23	61212	1	Shadow Ofc ring +24	61213	1
Soul Metal	2004	250	Shadow Ofc ring +24	61213	1	Shadow Ofc ring +25	61214	1
Soul Metal	2004	250	Shadow Ofc Necklace +1	61215	1	Shadow Ofc Necklace +2	61216	1
Soul Metal	2004	250	Shadow Ofc Necklace +2	61216	1	Shadow Ofc Necklace +3	61217	1
Soul Metal	2004	250	Shadow Ofc Necklace +3	61217	1	Shadow Ofc Necklace +4	61218	1
Soul Metal	2004	250	Shadow Ofc Necklace +4	61218	1	Shadow Ofc Necklace +5	61219	1
Soul Metal	2004	250	Shadow Ofc Necklace +5	61219	1	Shadow Ofc Necklace +6	61220	1
Soul Metal	2004	250	Shadow Ofc Necklace +6	61220	1	Shadow Ofc Necklace +7	61221	1
Soul Metal	2004	250	Shadow Ofc Necklace +7	61221	1	Shadow Ofc Necklace +8	61222	1
Soul Metal	2004	250	Shadow Ofc Necklace +8	61222	1	Shadow Ofc Necklace +9	61223	1
Soul Metal	2004	250	Shadow Ofc Necklace +9	61223	1	Shadow Ofc Necklace +10	61224	1
Soul Metal	2004	250	Shadow Ofc Necklace +10	61224	1	Shadow Ofc Necklace +11	61225	1
Soul Metal	2004	250	Shadow Ofc Necklace +11	61225	1	Shadow Ofc Necklace +12	61226	1
Soul Metal	2004	250	Shadow Ofc Necklace +12	61226	1	Shadow Ofc Necklace +13	61227	1
Soul Metal	2004	250	Shadow Ofc Necklace +13	61227	1	Shadow Ofc Necklace +14	61228	1
Soul Metal	2004	250	Shadow Ofc Necklace +14	61228	1	Shadow Ofc Necklace +15	61229	1
Soul Metal	2004	250	Shadow Ofc Necklace +15	61229	1	Shadow Ofc Necklace +16	61230	1
Soul Metal	2004	250	Shadow Ofc Necklace +16	61230	1	Shadow Ofc Necklace +17	61231	1
Soul Metal	2004	250	Shadow Ofc Necklace +17	61231	1	Shadow Ofc Necklace +18	61232	1
Soul Metal	2004	250	Shadow Ofc Necklace +18	61232	1	Shadow Ofc Necklace +19	61233	1
Soul Metal	2004	250	Shadow Ofc Necklace +19	61233	1	Shadow Ofc Necklace +20	61234	1
Soul Metal	2004	250	Shadow Ofc Necklace +20	61234	1	Shadow Ofc Necklace +21	61235	1
Soul Metal	2004	250	Shadow Ofc Necklace +21	61235	1	Shadow Ofc Necklace +22	61236	1
Soul Metal	2004	250	Shadow Ofc Necklace +22	61236	1	Shadow Ofc Necklace +23	61237	1
Soul Metal	2004	250	Shadow Ofc Necklace +23	61237	1	Shadow Ofc Necklace +24	61238	1
Soul Metal	2004	250	Shadow Ofc Necklace +24	61238	1	Shadow Ofc Necklace +25	61239	1
Soul Metal	2004	250	Templar ring +1	61240	1	Templar ring +2	61241	1
Soul Metal	2004	250	Templar ring +2	61241	1	Templar ring +3	61242	1
Soul Metal	2004	250	Templar ring +3	61242	1	Templar ring +4	61243	1
Soul Metal	2004	250	Templar ring +4	61243	1	Templar ring +5	61244	1
Soul Metal	2004	250	Templar ring +5	61244	1	Templar ring +6	61245	1
Soul Metal	2004	250	Templar ring +6	61245	1	Templar ring +7	61246	1
Soul Metal	2004	250	Templar ring +7	61246	1	Templar ring +8	61247	1
Soul Metal	2004	250	Templar ring +8	61247	1	Templar ring +9	61248	1
Soul Metal	2004	250	Templar ring +9	61248	1	Templar ring +10	61249	1
Soul Metal	2004	250	Templar ring +10	61249	1	Templar ring +11	61250	1
Soul Metal	2004	250	Templar ring +11	61250	1	Templar ring +12	61251	1
Soul Metal	2004	250	Templar ring +12	61251	1	Templar ring +13	61252	1
Soul Metal	2004	250	Templar ring +13	61252	1	Templar ring +14	61253	1
Soul Metal	2004	250	Templar ring +14	61253	1	Templar ring +15	61254	1
Soul Metal	2004	250	Templar ring +15	61254	1	Templar ring +16	61255	1
Soul Metal	2004	250	Templar ring +16	61255	1	Templar ring +17	61256	1
Soul Metal	2004	250	Templar ring +17	61256	1	Templar ring +18	61257	1
Soul Metal	2004	250	Templar ring +18	61257	1	Templar ring +19	61258	1
Soul Metal	2004	250	Templar ring +19	61258	1	Templar ring +20	61259	1
Soul Metal	2004	250	Templar ring +20	61259	1	Templar ring +21	61260	1
Soul Metal	2004	250	Templar ring +21	61260	1	Templar ring +22	61261	1
Soul Metal	2004	250	Templar ring +22	61261	1	Templar ring +23	61262	1
Soul Metal	2004	250	Templar ring +23	61262	1	Templar ring +24	61263	1
Soul Metal	2004	250	Templar ring +24	61263	1	Templar ring +25	61264	1
Soul Metal	2004	250	Templar Necklace +1	61265	1	Templar Necklace +2	61266	1
Soul Metal	2004	250	Templar Necklace +2	61266	1	Templar Necklace +3	61267	1
Soul Metal	2004	250	Templar Necklace +3	61267	1	Templar Necklace +4	61268	1
Soul Metal	2004	250	Templar Necklace +4	61268	1	Templar Necklace +5	61269	1
Soul Metal	2004	250	Templar Necklace +5	61269	1	Templar Necklace +6	61270	1
Soul Metal	2004	250	Templar Necklace +6	61270	1	Templar Necklace +7	61271	1
Soul Metal	2004	250	Templar Necklace +7	61271	1	Templar Necklace +8	61272	1
Soul Metal	2004	250	Templar Necklace +8	61272	1	Templar Necklace +9	61273	1
Soul Metal	2004	250	Templar Necklace +9	61273	1	Templar Necklace +10	61274	1
Soul Metal	2004	250	Templar Necklace +10	61274	1	Templar Necklace +11	61275	1
Soul Metal	2004	250	Templar Necklace +11	61275	1	Templar Necklace +12	61276	1
Soul Metal	2004	250	Templar Necklace +12	61276	1	Templar Necklace +13	61277	1
Soul Metal	2004	250	Templar Necklace +13	61277	1	Templar Necklace +14	61278	1
Soul Metal	2004	250	Templar Necklace +14	61278	1	Templar Necklace +15	61279	1
Soul Metal	2004	250	Templar Necklace +15	61279	1	Templar Necklace +16	61280	1
Soul Metal	2004	250	Templar Necklace +16	61280	1	Templar Necklace +17	61281	1
Soul Metal	2004	250	Templar Necklace +17	61281	1	Templar Necklace +18	61282	1
Soul Metal	2004	250	Templar Necklace +18	61282	1	Templar Necklace +19	61283	1
Soul Metal	2004	250	Templar Necklace +19	61283	1	Templar Necklace +20	61284	1
Soul Metal	2004	250	Templar Necklace +20	61284	1	Templar Necklace +21	61285	1
Soul Metal	2004	250	Templar Necklace +21	61285	1	Templar Necklace +22	61286	1
Soul Metal	2004	250	Templar Necklace +22	61286	1	Templar Necklace +23	61287	1
Soul Metal	2004	250	Templar Necklace +23	61287	1	Templar Necklace +24	61288	1
Soul Metal	2004	250	Templar Necklace +24	61288	1	Templar Necklace +25	61289	1
Soul Metal	2004	250	Attacker ring +1	61290	1	Attacker ring +2	61291	1
Soul Metal	2004	250	Attacker ring +2	61291	1	Attacker ring +3	61292	1
Soul Metal	2004	250	Attacker ring +3	61292	1	Attacker ring +4	61293	1
Soul Metal	2004	250	Attacker ring +4	61293	1	Attacker ring +5	61294	1
Soul Metal	2004	250	Attacker ring +5	61294	1	Attacker ring +6	61295	1
Soul Metal	2004	250	Attacker ring +6	61295	1	Attacker ring +7	61296	1
Soul Metal	2004	250	Attacker ring +7	61296	1	Attacker ring +8	61297	1
Soul Metal	2004	250	Attacker ring +8	61297	1	Attacker ring +9	61298	1
Soul Metal	2004	250	Attacker ring +9	61298	1	Attacker ring +10	61299	1
Soul Metal	2004	250	Attacker ring +10	61299	1	Attacker ring +11	61300	1
Soul Metal	2004	250	Attacker ring +11	61300	1	Attacker ring +12	61301	1
Soul Metal	2004	250	Attacker ring +12	61301	1	Attacker ring +13	61302	1
Soul Metal	2004	250	Attacker ring +13	61302	1	Attacker ring +14	61303	1
Soul Metal	2004	250	Attacker ring +14	61303	1	Attacker ring +15	61304	1
Soul Metal	2004	250	Attacker ring +15	61304	1	Attacker ring +16	61305	1
Soul Metal	2004	250	Attacker ring +16	61305	1	Attacker ring +17	61306	1
Soul Metal	2004	250	Attacker ring +17	61306	1	Attacker ring +18	61307	1
Soul Metal	2004	250	Attacker ring +18	61307	1	Attacker ring +19	61308	1
Soul Metal	2004	250	Attacker ring +19	61308	1	Attacker ring +20	61309	1
Soul Metal	2004	250	Attacker ring +20	61309	1	Attacker ring +21	61310	1
Soul Metal	2004	250	Attacker ring +21	61310	1	Attacker ring +22	61311	1
Soul Metal	2004	250	Attacker ring +22	61311	1	Attacker ring +23	61312	1
Soul Metal	2004	250	Attacker ring +23	61312	1	Attacker ring +24	61313	1
Soul Metal	2004	250	Attacker ring +24	61313	1	Attacker ring +25	61314	1
Soul Metal	2004	250	Attacker Necklace +1	61315	1	Attacker Necklace +2	61316	1
Soul Metal	2004	250	Attacker Necklace +2	61316	1	Attacker Necklace +3	61317	1
Soul Metal	2004	250	Attacker Necklace +3	61317	1	Attacker Necklace +4	61318	1
Soul Metal	2004	250	Attacker Necklace +4	61318	1	Attacker Necklace +5	61319	1
Soul Metal	2004	250	Attacker Necklace +5	61319	1	Attacker Necklace +6	61320	1
Soul Metal	2004	250	Attacker Necklace +6	61320	1	Attacker Necklace +7	61321	1
Soul Metal	2004	250	Attacker Necklace +7	61321	1	Attacker Necklace +8	61322	1
Soul Metal	2004	250	Attacker Necklace +8	61322	1	Attacker Necklace +9	61323	1
Soul Metal	2004	250	Attacker Necklace +9	61323	1	Attacker Necklace +10	61324	1
Soul Metal	2004	250	Attacker Necklace +10	61324	1	Attacker Necklace +11	61325	1
Soul Metal	2004	250	Attacker Necklace +11	61325	1	Attacker Necklace +12	61326	1
Soul Metal	2004	250	Attacker Necklace +12	61326	1	Attacker Necklace +13	61327	1
Soul Metal	2004	250	Attacker Necklace +13	61327	1	Attacker Necklace +14	61328	1
Soul Metal	2004	250	Attacker Necklace +14	61328	1	Attacker Necklace +15	61329	1
Soul Metal	2004	250	Attacker Necklace +15	61329	1	Attacker Necklace +16	61330	1
Soul Metal	2004	250	Attacker Necklace +16	61330	1	Attacker Necklace +17	61331	1
Soul Metal	2004	250	Attacker Necklace +17	61331	1	Attacker Necklace +18	61332	1
Soul Metal	2004	250	Attacker Necklace +18	61332	1	Attacker Necklace +19	61333	1
Soul Metal	2004	250	Attacker Necklace +19	61333	1	Attacker Necklace +20	61334	1
Soul Metal	2004	250	Attacker Necklace +20	61334	1	Attacker Necklace +21	61335	1
Soul Metal	2004	250	Attacker Necklace +21	61335	1	Attacker Necklace +22	61336	1
Soul Metal	2004	250	Attacker Necklace +22	61336	1	Attacker Necklace +23	61337	1
Soul Metal	2004	250	Attacker Necklace +23	61337	1	Attacker Necklace +24	61338	1
